variable,type,units,description
spp,string,,6-letter species code
Species,string,,species scientific name
Family,string,,species scientific family
Grp,string,succ = successional gradient; light = light gradient,Grouping used in analysis. See main text for details
Hpot_method,string,maxobs = estimated as the 95th percentile observed height;  HD = estimated by fitting an curve to height-diameter data,method used to estimate potential height
Hpot,numeric,m,potential height
HD_n,numeric,number,number of ondividuals used to fit height-diameter relationship
HD_r2,numeric,,r2 of fitted height-diameter relationship
HD_a,numeric,,parameter of fitted height-diameter relationship
HD_b,numeric,,parameter of fitted height-diameter relationship
LMA,numeric,mg mm-2, leaf mass per area
Nmass,numeric,mg mg-1,leaf nitrogen content
LS,numeric,mm2,leaf size
LFLT,numeric,mm2,leaflet size
TwXSA,numeric,mm2,cross sectional area of branch tip
WD,numeric,mg mm-3,wood density
BMF,numeric,,"branch mass fraction, averaged across the terminal meter of stem"
LL,numeric,mm,distance to last leaf on main stem
SS,numeric,mg,seed size
SMPL_tip,numeric,mg mm-1,stem mass per unit stem length at branch tip
LMPL_tip,numeric,mg mm-1,leaf mass per unit stem length at branch tip
SMPL_1m,numeric,mg mm-1,"stem mass per unit stem length, averaged across the terminal meter of stem"
LMPL_1m,numeric,mg mm-1,"leaf mass per unit stem length, averaged across the terminal meter of stem"
