"site","subsite","spp","ind","leaf_type","height","leaf_size","lma","stem_density_25","stem_density_100","segment","length","xsa","mass_stem_main","mass_stem_side","mass_stem_total","mass_leaf_main","mass_leaf_side","mass_leaf_total","area_leaf_main","area_leaf_side","area_leaf_total","number_leaf_main","number_leaf_total","main_leaf_mass_per_length","main_stem_mass_per_length","main_all_mass_per_length","total_leaf_mass_per_length","total_stem_mass_per_length","total_all_mass_per_length","main_leaf_area_per_length","total_area_per_length","leaf_no_per_length","main_LMF","total_LMF","main_LAR","total_LAR"
"daintree","mt edith","acacel",1,"simple",12.84,3603,0.0001521,0.4829,"4.3098E-01","0",0,"2.1991E+00",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"daintree","mt edith","acacel",1,"simple",12.84,3603,0.0001521,0.4829,"4.3098E-01","a",320,"6.1261E+00",0.5539,0,0.5539,1.82,0,1.82,11968,0,11968,3.3214,3.3214,0.0056875,0.0017309,0.0074184,0.0056875,0.0017309,0.0074184,37.4,37.4,0.010379,0.76667,0.76667,5041.5,5041.5
"daintree","mt edith","acacel",1,"simple",12.84,3603,0.0001521,0.4829,"4.3098E-01","e",1000,"1.0292E+02",17.47,37.337,54.807,9.372,69.825,79.197,61629,459160,520790,17.103,144.53,0.009372,0.01747,0.026842,0.079197,0.054807,0.134,61.629,520.79,0.017103,0.34915,0.59101,2296,3886.3
"daintree","k-tree","acacel",2,"simple",10.26,2289,0.0001358,0.47958,"5.5768E-01","0",0,"3.0631E+00",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"daintree","k-tree","acacel",2,"simple",10.26,2289,0.0001358,0.47958,"5.5768E-01","a",130,"7.9168E+00",0.2581,0.0932,0.3513,0.5134,3.886,4.3994,3779.7,28609,32389,1.651,14.147,0.0039492,0.0019854,0.0059346,0.033842,0.0027023,0.036544,29.075,249.14,0.0127,0.66546,0.92605,4899.2,6817.7
"daintree","k-tree","acacel",2,"simple",10.26,2289,0.0001358,0.47958,"5.5768E-01","e",1000,"1.4903E+02",18.979,30.51,49.489,7.7215,72.748,80.469,56846,535580,592420,24.831,258.77,0.0077215,0.018979,0.0267,0.080469,0.049489,0.12996,56.846,592.42,0.024831,0.28919,0.61919,2129.1,4558.6
"daintree","robson","acacel",3,"simple",8.47,2465,0.0001482,0.42295,"4.6443E-01","0",0,"4.5239E+00",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"daintree","robson","acacel",3,"simple",8.47,2465,0.0001482,0.42295,"4.6443E-01","a",210,"1.1545E+01",0.6849,0,0.6849,3.6969,0,3.6969,24950,0,24950,10.12,10.12,0.017604,0.0032614,0.020866,0.017604,0.0032614,0.020866,118.81,118.81,0.048191,0.84369,0.84369,5693.9,5693.9
"daintree","robson","acacel",3,"simple",8.47,2465,0.0001482,0.42295,"4.6443E-01","e",1000,"1.8435E+02",31.876,73.958,105.83,5.1154,124.94,130.05,34523,843170,877700,14.003,356.02,0.0051154,0.031876,0.036991,0.13005,0.10583,0.23589,34.523,877.7,0.014003,0.13829,0.55133,933.27,3720.8
"daintree","crane","acmgra",1,"simple",NA,7428,0.0001535,0.51914,"5.6323E-01","0",0,"9.8960E+00",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"daintree","crane","acmgra",1,"simple",NA,7428,0.0001535,0.51914,"5.6323E-01","a",190,"2.7332E+01",4.036,0,4.036,8.329,0,8.329,54257,0,54257,7.304,7.304,0.043837,0.021242,0.065079,0.043837,0.021242,0.065079,285.56,285.56,0.038442,0.67359,0.67359,4387.9,4387.9
"daintree","crane","acmgra",1,"simple",NA,7428,0.0001535,0.51914,"5.6323E-01","e",1000,"2.5977E+02",76.64,139.01,215.65,12.833,217.88,230.71,83596,1419300,1502900,11.254,202.32,0.012833,0.07664,0.089473,0.23071,0.21565,0.44636,83.596,1502.9,0.011254,0.14343,0.51687,934.32,3367
"daintree","crane","acmgra",2,"simple",NA,3981,0.0001522,0.58494,"5.9048E-01","0",0,"4.7831E+00",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
