site,subsite,collector,spp,height,diameter,sampled
daintree,Atherton tablelands,Daniel Falster,Acacia celsa,9.11,10.82,
daintree,Atherton tablelands,Daniel Falster,Acacia celsa,10.37,15.6,y
daintree,Atherton tablelands,Daniel Falster,Acacia celsa,12.15,22.6,y
daintree,Atherton tablelands,Daniel Falster,Acacia celsa,14.48,29.28,
daintree,Atherton tablelands,Daniel Falster,Acacia celsa,14.73,14.32,y
daintree,Atherton tablelands,Daniel Falster,Acacia celsa,15.11,20.69,
daintree,Atherton tablelands,Daniel Falster,Acacia celsa,15.38,15.92,
daintree,Atherton tablelands,Daniel Falster,Acacia celsa,17.51,42.97,
daintree,Atherton tablelands,Daniel Falster,Acacia celsa,19.17,21.96,
daintree,Atherton tablelands,Daniel Falster,Acacia celsa,19.89,32.79,
daintree,Atherton tablelands,Daniel Falster,Acacia celsa,21.27,12.1,
daintree,Atherton tablelands,Daniel Falster,Acacia celsa,21.56,27.69,
daintree,Atherton tablelands,Daniel Falster,Acacia celsa,22.59,34.38,
daintree,Atherton tablelands,Daniel Falster,Acacia celsa,23.63,44.56,
daintree,Atherton tablelands,Daniel Falster,Acacia celsa,26.31,37.88,
daintree,Atherton tablelands,Daniel Falster,Acacia celsa,27.04,30.24,
daintree,Atherton tablelands,Daniel Falster,Acacia celsa,27.6,98.68,
daintree,Atherton tablelands,Daniel Falster,Acronychia acidula,5.15,6.05,
daintree,Atherton tablelands,Daniel Falster,Acronychia acidula,7.5,6.68,
daintree,Atherton tablelands,Daniel Falster,Acronychia acidula,7.75,5.41,
daintree,Atherton tablelands,Daniel Falster,Acronychia acidula,8.5,8.91,y
daintree,Atherton tablelands,Daniel Falster,Acronychia acidula,11.58,11.14,
daintree,Atherton tablelands,Daniel Falster,Acronychia acidula,12.08,20.37,
daintree,Atherton tablelands,Daniel Falster,Acronychia acidula,12.14,12.1,
daintree,Atherton tablelands,Daniel Falster,Acronychia acidula,12.7,7.32,
daintree,Atherton tablelands,Daniel Falster,Acronychia acidula,12.71,13.05,
daintree,Atherton tablelands,Daniel Falster,Acronychia acidula,13.11,18.46,y
daintree,Atherton tablelands,Daniel Falster,Acronychia acidula,15.01,18.78,
daintree,Atherton tablelands,Daniel Falster,Acronychia acidula,15.65,17.83,
daintree,Atherton tablelands,Daniel Falster,Acronychia acidula,16.33,14.01,
daintree,Atherton tablelands,Daniel Falster,Acronychia acidula,16.86,23.87,
daintree,Atherton tablelands,Daniel Falster,Acronychia acidula,17.69,17.83,y
daintree,Atherton tablelands,Daniel Falster,Acronychia acidula,18.1,20.05,
daintree,Atherton tablelands,Daniel Falster,Acronychia acidula,20.88,19.1,
daintree,Atherton tablelands,Daniel Falster,Acronychia acidula,21.15,18.14,
daintree,Atherton tablelands,Daniel Falster,Acronychia acidula,21.87,22.28,
daintree,Atherton tablelands,Daniel Falster,Aleurites rockinghamensis,9.5,7.96,y
daintree,Atherton tablelands,Daniel Falster,Aleurites rockinghamensis,10.01,9.55,
daintree,Atherton tablelands,Daniel Falster,Aleurites rockinghamensis,10.99,9.23,y
daintree,Atherton tablelands,Daniel Falster,Aleurites rockinghamensis,13.53,15.28,
daintree,Atherton tablelands,Daniel Falster,Aleurites rockinghamensis,14.12,35.01,
daintree,Atherton tablelands,Daniel Falster,Aleurites rockinghamensis,14.5,13.53,y
daintree,Atherton tablelands,Daniel Falster,Aleurites rockinghamensis,14.76,8.59,
daintree,Atherton tablelands,Daniel Falster,Aleurites rockinghamensis,15.95,12.41,
daintree,Atherton tablelands,Daniel Falster,Aleurites rockinghamensis,17.15,11.46,
daintree,Atherton tablelands,Daniel Falster,Aleurites rockinghamensis,20.54,16.55,
daintree,Atherton tablelands,Daniel Falster,Aleurites rockinghamensis,21.56,24.83,
daintree,Atherton tablelands,Daniel Falster,Aleurites rockinghamensis,22.59,34.7,
daintree,Atherton tablelands,Daniel Falster,Aleurites rockinghamensis,23.38,20.69,
daintree,Atherton tablelands,Daniel Falster,Aleurites rockinghamensis,23.74,23.87,
daintree,Atherton tablelands,Daniel Falster,Aleurites rockinghamensis,26.2,48.06,
daintree,Atherton tablelands,Daniel Falster,Aleurites rockinghamensis,28.56,35.01,
daintree,Atherton tablelands,Daniel Falster,Aleurites rockinghamensis,29.29,33.1,
daintree,Atherton tablelands,Daniel Falster,Aleurites rockinghamensis,31.95,50.93,
daintree,cape road edges,Daniel Falster,Alphitonia petriei,6.2,7.96,
daintree,cape road edges,Daniel Falster,Alphitonia petriei,7.48,13.05,
daintree,cape road edges,Daniel Falster,Alphitonia petriei,8.13,10.19,
daintree,cape road edges,Daniel Falster,Alphitonia petriei,8.3,7.32,
daintree,cape road edges,Daniel Falster,Alphitonia petriei,8.96,14.01,
daintree,cape road edges,Daniel Falster,Alphitonia petriei,11.82,17.19,
daintree,cape road edges,Daniel Falster,Alphitonia petriei,17.67,38.52,
daintree,cape road edges,Daniel Falster,Alphitonia petriei,18.39,40.74,
daintree,cape road edges,Daniel Falster,Alphitonia petriei,24.29,33.1,
daintree,Atherton tablelands,Daniel Falster,Alphitonia petriei,6.8,12.25,y
daintree,Atherton tablelands,Daniel Falster,Alphitonia petriei,10.61,10.03,y
daintree,Atherton tablelands,Daniel Falster,Alphitonia petriei,13.28,17.19,y
daintree,Atherton tablelands,Daniel Falster,Alphitonia petriei,15.32,20.69,
daintree,Atherton tablelands,Daniel Falster,Alphitonia petriei,16.3,26.74,
daintree,Atherton tablelands,Daniel Falster,Alphitonia petriei,16.37,19.1,
daintree,Atherton tablelands,Daniel Falster,Alphitonia petriei,17.56,13.05,
daintree,Atherton tablelands,Daniel Falster,Alphitonia petriei,18.47,23.55,
daintree,Atherton tablelands,Daniel Falster,Alphitonia petriei,18.47,62.07,
daintree,Atherton tablelands,Daniel Falster,Alphitonia petriei,20.23,28.97,
