site,subsite,collector,spp,height,diameter,sampled
daintree,Atherton tablelands,Daniel Falster,Acacia celsa,9.11,10.82,0
daintree,Atherton tablelands,Daniel Falster,Acacia celsa,10.37,15.6,1
daintree,Atherton tablelands,Daniel Falster,Acacia celsa,12.15,22.6,1
daintree,Atherton tablelands,Daniel Falster,Acacia celsa,14.48,29.28,0
daintree,Atherton tablelands,Daniel Falster,Acacia celsa,14.73,14.32,1
daintree,Atherton tablelands,Daniel Falster,Acacia celsa,15.11,20.69,0
daintree,Atherton tablelands,Daniel Falster,Acacia celsa,15.38,15.92,0
daintree,Atherton tablelands,Daniel Falster,Acacia celsa,17.51,42.97,0
daintree,Atherton tablelands,Daniel Falster,Acacia celsa,19.17,21.96,0
daintree,Atherton tablelands,Daniel Falster,Acacia celsa,19.89,32.79,0
daintree,Atherton tablelands,Daniel Falster,Acacia celsa,21.27,12.1,0
daintree,Atherton tablelands,Daniel Falster,Acacia celsa,21.56,27.69,0
daintree,Atherton tablelands,Daniel Falster,Acacia celsa,22.59,34.38,0
daintree,Atherton tablelands,Daniel Falster,Acacia celsa,23.63,44.56,0
daintree,Atherton tablelands,Daniel Falster,Acacia celsa,26.31,37.88,0
daintree,Atherton tablelands,Daniel Falster,Acacia celsa,27.04,30.24,0
daintree,Atherton tablelands,Daniel Falster,Acacia celsa,27.6,98.68,0
daintree,Atherton tablelands,Daniel Falster,Acronychia acidula,5.15,6.05,0
daintree,Atherton tablelands,Daniel Falster,Acronychia acidula,7.5,6.68,0
daintree,Atherton tablelands,Daniel Falster,Acronychia acidula,7.75,5.41,0
daintree,Atherton tablelands,Daniel Falster,Acronychia acidula,8.5,8.91,1
daintree,Atherton tablelands,Daniel Falster,Acronychia acidula,11.58,11.14,0
daintree,Atherton tablelands,Daniel Falster,Acronychia acidula,12.08,20.37,0
daintree,Atherton tablelands,Daniel Falster,Acronychia acidula,12.14,12.1,0
daintree,Atherton tablelands,Daniel Falster,Acronychia acidula,12.7,7.32,0
daintree,Atherton tablelands,Daniel Falster,Acronychia acidula,12.71,13.05,0
daintree,Atherton tablelands,Daniel Falster,Acronychia acidula,13.11,18.46,1
daintree,Atherton tablelands,Daniel Falster,Acronychia acidula,15.01,18.78,0
daintree,Atherton tablelands,Daniel Falster,Acronychia acidula,15.65,17.83,0
daintree,Atherton tablelands,Daniel Falster,Acronychia acidula,16.33,14.01,0
daintree,Atherton tablelands,Daniel Falster,Acronychia acidula,16.86,23.87,0
daintree,Atherton tablelands,Daniel Falster,Acronychia acidula,17.69,17.83,1
daintree,Atherton tablelands,Daniel Falster,Acronychia acidula,18.1,20.05,0
daintree,Atherton tablelands,Daniel Falster,Acronychia acidula,20.88,19.1,0
daintree,Atherton tablelands,Daniel Falster,Acronychia acidula,21.15,18.14,0
daintree,Atherton tablelands,Daniel Falster,Acronychia acidula,21.87,22.28,0
daintree,Atherton tablelands,Daniel Falster,Aleurites rockinghamensis,9.5,7.96,1
daintree,Atherton tablelands,Daniel Falster,Aleurites rockinghamensis,10.01,9.55,0
daintree,Atherton tablelands,Daniel Falster,Aleurites rockinghamensis,10.99,9.23,1
daintree,Atherton tablelands,Daniel Falster,Aleurites rockinghamensis,13.53,15.28,0
daintree,Atherton tablelands,Daniel Falster,Aleurites rockinghamensis,14.12,35.01,0
daintree,Atherton tablelands,Daniel Falster,Aleurites rockinghamensis,14.5,13.53,1
daintree,Atherton tablelands,Daniel Falster,Aleurites rockinghamensis,14.76,8.59,0
daintree,Atherton tablelands,Daniel Falster,Aleurites rockinghamensis,15.95,12.41,0
daintree,Atherton tablelands,Daniel Falster,Aleurites rockinghamensis,17.15,11.46,0
daintree,Atherton tablelands,Daniel Falster,Aleurites rockinghamensis,20.54,16.55,0
daintree,Atherton tablelands,Daniel Falster,Aleurites rockinghamensis,21.56,24.83,0
daintree,Atherton tablelands,Daniel Falster,Aleurites rockinghamensis,22.59,34.7,0
daintree,Atherton tablelands,Daniel Falster,Aleurites rockinghamensis,23.38,20.69,0
daintree,Atherton tablelands,Daniel Falster,Aleurites rockinghamensis,23.74,23.87,0
daintree,Atherton tablelands,Daniel Falster,Aleurites rockinghamensis,26.2,48.06,0
daintree,Atherton tablelands,Daniel Falster,Aleurites rockinghamensis,28.56,35.01,0
daintree,Atherton tablelands,Daniel Falster,Aleurites rockinghamensis,29.29,33.1,0
daintree,Atherton tablelands,Daniel Falster,Aleurites rockinghamensis,31.95,50.93,0
daintree,cape road edges,Daniel Falster,Alphitonia petriei,6.2,7.96,0
daintree,cape road edges,Daniel Falster,Alphitonia petriei,7.48,13.05,0
daintree,cape road edges,Daniel Falster,Alphitonia petriei,8.13,10.19,0
daintree,cape road edges,Daniel Falster,Alphitonia petriei,8.3,7.32,0
daintree,cape road edges,Daniel Falster,Alphitonia petriei,8.96,14.01,0
daintree,cape road edges,Daniel Falster,Alphitonia petriei,11.82,17.19,0
daintree,cape road edges,Daniel Falster,Alphitonia petriei,17.67,38.52,0
daintree,cape road edges,Daniel Falster,Alphitonia petriei,18.39,40.74,0
daintree,cape road edges,Daniel Falster,Alphitonia petriei,24.29,33.1,0
daintree,Atherton tablelands,Daniel Falster,Alphitonia petriei,6.8,12.25,1
daintree,Atherton tablelands,Daniel Falster,Alphitonia petriei,10.61,10.03,1
daintree,Atherton tablelands,Daniel Falster,Alphitonia petriei,13.28,17.19,1
daintree,Atherton tablelands,Daniel Falster,Alphitonia petriei,15.32,20.69,0
daintree,Atherton tablelands,Daniel Falster,Alphitonia petriei,16.3,26.74,0
daintree,Atherton tablelands,Daniel Falster,Alphitonia petriei,16.37,19.1,0
daintree,Atherton tablelands,Daniel Falster,Alphitonia petriei,17.56,13.05,0
daintree,Atherton tablelands,Daniel Falster,Alphitonia petriei,18.47,23.55,0
daintree,Atherton tablelands,Daniel Falster,Alphitonia petriei,18.47,62.07,0
daintree,Atherton tablelands,Daniel Falster,Alphitonia petriei,20.23,28.97,0
daintree,Atherton tablelands,Daniel Falster,Alphitonia petriei,20.29,21.65,0
daintree,Atherton tablelands,Daniel Falster,Alphitonia petriei,21.5,29.92,0
daintree,Atherton tablelands,Daniel Falster,Alphitonia petriei,21.5,31.19,0
daintree,Australian canopy crane,Daniel Falster,Cryptocarya laevigata,0.2,0.35,0
daintree,Australian canopy crane,Daniel Falster,Cryptocarya laevigata,0.55,0.65,0
