spp,indiv,leaf_type,no_leaves,total_mass,total_area,leaf_size,lma_leaf,rachis_mass,rachis_area,no_leaflets,leaflet_size,lma_leaflet
acacel,1,simple,3,1.6439,10810,3603.333,0.152072,0,0,3,3603.333,0.152072
acacel,2,simple,3,0.9329,6868.1,2289.367,0.135831,0,0,3,2289.367,0.135831
acacel,3,simple,3,1.0959,7396,2465.333,0.148175,0,0,3,2465.333,0.148175
acmgra,1,simple,3,3.421,22285,7428.333,0.153511,0,0,3,7428.333,0.153511
acmgra,2,simple,3,1.8174,11942,3980.667,0.152186,0,0,3,3980.667,0.152186
acmgra,3,simple,4,2.5258,17313,4328.25,0.14589,0,0,4,4328.25,0.14589
acraci,1,simple,3,4.1704,44156,14718.667,0.094447,0,0,3,14718.667,0.094447
acraci,2,simple,3,3.9375,44819,14939.667,0.087853,0,0,3,14939.667,0.087853
acraci,3,simple,3,2.875,39742.5,13247.5,0.072341,0,0,3,13247.5,0.072341
aleroc,1,simple,3,12.79,103578,34526,0.123482,0,0,3,34526,0.123482
aleroc,2,simple,2,19.747,183442,91721,0.107647,0,0,2,91721,0.107647
aleroc,3,simple,3,30.902,287112,95704,0.10763,0,0,3,95704,0.10763
alppet,1,simple,3,2.2674,16375,5458.333,0.138467,0,0,3,5458.333,0.138467
alppet,2,simple,3,3.0265,19495,6498.333,0.155245,0,0,3,6498.333,0.155245
alppet,3,simple,3,3.9102,25510,8503.333,0.153281,0,0,3,8503.333,0.153281
alssch,1,simple,3,2.0766,18756,6252,0.110717,0,0,3,6252,0.110717
alssch,2,simple,3,2.1527,19772,6590.667,0.108876,0,0,3,6590.667,0.108876
alssch,3,simple,4,2.332,22816,5704,0.102209,0,0,4,5704,0.102209
argper,1,compound,5,5.4942,19650.6,3930.12,0.279594516,0.2482,524.27,11,1738.757,0.274282
argper,2,compound,5,4.8844,18344.4,3668.88,0.266261093,0.2697,496.12,11,1622.571,0.258552
argper,3,compound,3,12.0826,57185,19061.66667,0.211289674,0.9736,1004.67,9,6242.259,0.197738
atrhir,1,simple,4,3.1495,42248,10562,0.074548,0,0,4,10562,0.074548
atrhir,2,simple,3,3.1883,46131,15377,0.069114,0,0,3,15377,0.069114
atrhir,3,simple,3,1.7569,24552,8184,0.071558,0,0,3,8184,0.071558
bropla,1,simple,3,2.8379,27272,9090.667,0.104059,0,0,3,9090.667,0.104059
bropla,2,simple,3,1.6421,15659,5219.667,0.104866,0,0,3,5219.667,0.104866
