species,family,seed mass,source
Acacia aulacocarpa,Mimosaceae,10.296,collected in field
Acacia aulacocarpa,Mimosaceae,13,Grubb et al (1998) Oikos 82: 467-482
Acacia aulacocarpa,Mimosaceae,25.7,Lord et al. (1997) J. of Biogeography 24: 204-211
Aleurites moluccana,Euphorbiaceae,7077.692308,collected in field
Aleurites moluccana,Euphorbiaceae,3092,"Osunkoya, O. O., J. E. Ash, M. S. Hopkins, and A. W. Graham. 1994. Influence of seed size and seedling ecological attributes on shade-tolerance of rain-forest tree species in northern Queensland. Journal of Ecology 82:149-163."
Aleurites moluccana,Euphorbiaceae,7520,Moles and westoby seed pred paper (data from various sources…)
Aleurites moluccana,Euphorbiaceae,7900,Grubb et al (1998) Oikos 82: 467-482
Aleurites moluccana  var. rockinghamensis,Euphorbiaceae,2748.41,"Peter Juniper, pers. comm."
Alphitonia petriei,No record,27.22325581,collected in field
Alphitonia petriei,No record,5,"Osunkoya, O. O., J. E. Ash, M. S. Hopkins, and A. W. Graham. 1994. Influence of seed size and seedling ecological attributes on shade-tolerance of rain-forest tree species in northern Queensland. Journal of Ecology 82:149-163."
Alstonia scholaris,Apocynaceae,1.533333333,collected in field
Alstonia scholaris,Apocynaceae,13.3,"Murali, K. S. 1997. Patterns of seed size, germination and seed viability of tropical tree species in southern india. Biotropica 29:271-279."
Argyrodendron peralatum,Sterculiaceae,180,Grubb et al (1998) Oikos 82: 467-482
Argyrodendron peralatum,Sterculiaceae,419,"Peter Juniper, pers. comm."
Argyrodendron peralatum,Sterculiaceae,700,Grubb et al (1998) Oikos 82: 467-482
Cardwellia sublimis,Protecaeae,394.52,"Peter Juniper, pers. comm."
Cardwellia sublimis,Protecaeae,770,Grubb et al (1998) Oikos 82: 467-482
Castanospermum australe,Fabaceae,7722.17,"Peter Juniper, pers. comm."
Castanospermum australe,Fabaceae,11460,"Osunkoya, O. O., J. E. Ash, M. S. Hopkins, and A. W. Graham. 1994. Influence of seed size and seedling ecological attributes on shade-tolerance of rain-forest tree species in northern Queensland. Journal of Ecology 82:149-163."
Castanospermum australe,Fabaceae,14000,Grubb et al (1998) Oikos 82: 467-482
Castanospermum australe,Fabaceae,26220,Moles and westoby seed pred paper (data from various sources…)
Cryptocarya laevigata,No record,1281,collected in field
Cryptocarya mackinnoniana,Lauraceae,204,"Peter Juniper, pers. comm."
Dendrocnide moroides,Urticaceae,0.65,Grubb et al (1998) Oikos 82: 467-482
Dendrocnide moroides,Urticaceae,0.77,"Peter Juniper, pers. comm."
Elaeocarpus angustifolius,Elaeocarpaceae,3699.285714,collected in field
Elaeocarpus angustifolius,Elaeocarpaceae,4510,Moles and westoby seed pred paper (data from various sources)
Gillbeea adenopetala,Cunoniaceae,15,Grubb et al (1998) Oikos 82: 467-482
Glochidion hylandii,Euphorbiaceae,10.41320755,collected in field
Glochidion hylandii,Euphorbiaceae,9.6,"Peter Juniper, pers. comm."
Ixora biflora,No record,41.5,collected in field
Lantana camara,Lamiaceae,23.001,Westoby et al (1990) Ecology 71:1307-1315
Lasianthus strigosus,No record,7,collected in field
Litsea leefeana,Lauraceae,263.4230769,collected in field
Litsea leefeana,Lauraceae,600,Grubb et al (1998) Oikos 82: 467-482
Mallotus mollissimus,Euphorbiaceae,31.25454545,collected in field
Mallotus mollissimus,Euphorbiaceae,7.27,"Peter Juniper, pers. comm."
Melastoma affine,Melastomataceae,0.071,Grubb et al (1998) Oikos 82: 467-482
Melicope elleryana,Rutaceae,1.61,"Peter Juniper, pers. comm."
Myristica insipida,No record,1612,collected in field
Neolitsea dealbata,Lauraceae,176.1,collected in field
Neolitsea dealbata,Lauraceae,112.03,"Peter Juniper, pers. comm."
Neolitsea dealbata,Lauraceae,180,Grubb et al (1998) Oikos 82: 467-482
Omalanthus novo-guineensis,Euphorbiaceae,7,"Osunkoya, O. O., J. E. Ash, M. S. Hopkins, and A. W. Graham. 1994. Influence of seed size and seedling ecological attributes on shade-tolerance of rain-forest tree species in northern Queensland. Journal of Ecology 82:149-163."
Omalanthus novo-guineensis,Euphorbiaceae,21.88,"Peter Juniper, pers. comm."
Pittosporum rubiginosum  wingii,Pittosporaceae,27.93793103,collected in field
Pittosporum rubiginosum  wingii,Pittosporaceae,18.58,"Peter Juniper, pers. comm."
Polyscias australiana,Araliaceae,5.7,Grubb et al (1998) Oikos 82: 467-482
Polyscias australiana,Araliaceae,11,"Peter Juniper, pers. comm."
Psychotria sp.  Utchee Ck,Rubiaceae,23.09,"Peter Juniper, pers. comm."
Rapanea porosa,Myrsinaceae,0.013,"Peter Juniper, pers. comm."
Rockinghamia angustifolia,No record,19.38181818,collected in field
Solanum mauritianum,Solanaceae,1.042666667,collected in field
Solanum mauritianum,Solanaceae,1.03,"Peter Juniper, pers. comm."
Syzygium gustavioides,Myrtaceae,48000,Grubb et al (1998) Oikos 82: 467-482
Syzygium sayeri,Myrtaceae,841,"Peter Juniper, pers. comm."
Trema aspera,No record,5.118681319,collected in field
