spp,Genus,species,Full_nm,Family,Lf_Type,GF,Grp,Lf_sz,LMA,Hmax,wd_co,wd_25,xsa_25,wem_25,sd_25,sxsa_25,sem_25,bd_25,bxsa_25,wd_100,xsa_100,wem_100,sd_100,sxsa_100,sem_100,bd_100,bxsa_100,last_lf,twigxs,wd_m@1m,lf_m@1m,xsa@1000
acacel,Acacia,celsa,Acacia celsa,Mimosaceae,Simple,t,succ,2786.01,0.14536,27.18,0.63079,0.5191,6.7993,0.32623,0.46183,11.93287,0.22189,0.3858,5.13357,0.4981,97.3649,0.02269,0.48437,124.4248,0.01846,0.44037,27.05983,673.33,3.262,70.043,96.573,145.4322
acmgra,Acmena,graveolens,Acmena graveolens (F.M. BaiL) L-S. Smith  ,Myrtaceae,Simple,t,light,5245.75,0.15053,29.45,0.59398,0.58083,18.8627,0.10623,0.5383,31.7923,0.06664,0.47643,12.92953,0.5991,243.6046,0.00706,0.56747,342.7814,0.00532,0.4903,99.17683,422.5,7.1183,259.326,262.396,348.2586
acraci,Acronychia,acidula,Acronychia acidula,Rutaceae,Simple,ts,succ,14301.94,0.08488,25,0.57767,0.48023,28.984,0.15973,0.3263,47.7934,0.09986,0.25877,18.8094,0.52483,147.5401,0.01331,0.4969,193.5264,0.0107,0.40953,45.9863,428.33,19.868,94.466,118.723,176.8115
aleroc,Aleurites,moluccana,Aleurites rockinghamensis,Euphorbiaceae,Simple,t,succ,73983.67,0.11292,30.82,0.44384,0.18107,165.2472,0.03757,0.18643,237.654,0.02434,0.19773,72.40683,0.27997,291.4107,0.01321,0.26473,400.7715,0.01023,0.2241,109.3607,1400,48.1946,67.891,204.321,378.397
alppet,Alphitonia,petriei,Alphitonia petriei Braid & C.T. White  ,Rhamnaceae,Simple,t,succ,6820,0.149,22.65,0.59353,0.35717,17.40567,0.16533,0.37653,29.56603,0.09189,0.40553,12.16033,0.41247,119.27,0.02113,0.42423,160.382,0.01519,0.45887,41.112,373.33,7.333,48.243,77.038,141.8848
alssch,Alstonia ,scholaris,Alstonia scholaris ,Apocynaceae,Simple,t,light,6182.22,0.10727,44.57,0.42161,0.29917,34.61317,0.09737,0.27697,64.2045,0.05651,0.25033,29.59133,0.36073,228.799,0.01261,0.34297,338.0321,0.00893,0.3052,109.2331,336.67,34.4476,91.884,96.511,285.8404
argper,Argyrodendron,peralatum,Argyrodendron peralatum,Sterciliaceae,Compound,t,light,8886.89,0.25238,55.62,0.78698,0.5602,18.94623,0.11717,0.5227,51.91543,0.04247,0.5008,32.9692,0.72603,192.0282,0.00855,0.65357,360.4341,0.00494,0.57633,168.4059,326.67,10.7128,256.62,337.666,401.1578
atrhir,Atractocarpus,hirtus,Atractocarpus hirtus,Rubiaceae,Simple,sh,light,11374.33,0.07174,1.8,0.84025,0.6633,27.17887,0.0608,0.51663,47.32547,0.04456,0.32023,20.14657,0.8042,79.6111,0.01768,0.67067,115.8398,0.01448,0.38087,36.22873,240,13.6371,53.286,34.857,106.6623
bropla,Brombya,platynema,Brombya platynema,Rutaceae,Simple,ts,light,8218.44,0.10644,21,0.6258,0.44333,16.0171,0.14573,0.3843,26.45293,0.10283,0.28983,10.4358,0.6028,67.8444,0.02749,0.52383,94.1066,0.02269,0.32453,26.26223,806.67,11.6579,32.918,38.831,90.8784
carsub,Cardwellia,sublimis,Cardwellia sublimis,Proteaceae,Compound,t,succ,53958.48,0.14424,46.02,0.56313,0.53937,30.76453,0.06173,0.52393,46.75723,0.04206,0.49453,15.99273,0.60287,258.1968,0.00678,0.59557,341.0404,0.00518,0.57507,82.8436,615,12.2522,160.472,324.795,337.8547
